	dimension 1	dimension 2
1001700602_A6	20.45757	11.218231
1001700602_A8	2.3559587	26.105885
1001700602_A18	22.537424	18.62436
1001700602_B1	27.809393	6.672446
1001700602_B2	45.84898	31.569605
1001700602_B4	15.634647	-3.2474065
1001700602_B8	16.766287	12.982737
1001700602_B9	44.49338	3.5413
1001700602_B12	29.751732	3.5962586
1001700602_C8	19.542887	1.4277765
1001700602_C9	19.316057	8.351455
1001700602_C10	43.9023	4.3455663
1001700602_C18	24.088701	26.679138
1001700602_C21	26.569302	37.28165
1001700602_D9	-0.89087665	-25.053455
1001700602_D10	24.292822	-17.703632
1001700602_D11	47.220005	13.551676
1001700602_D12	18.558468	19.285376
1001700602_D16	14.00747	13.00418
1001700602_D18	13.7574	15.520623
1001700602_E3	24.601728	27.867565
1001700602_E7	47.90492	14.336292
1001700602_E8	35.97512	23.58925
1001700602_E16	18.554277	35.062298
1001700602_E20	30.723125	34.609543
1001700602_F7	24.47227	32.367474
1001700602_F10	28.041435	-18.326694
1001700602_F11	32.256916	14.321388
1001700602_F12	9.945968	36.384197
1001700602_F13	17.20844	21.919123
1001700602_F15	15.550067	14.079995
1001700602_F18	32.31272	10.875876
1001700602_F20	11.090637	1.3470929
1001700602_F22	12.598918	36.251057
1001700602_G3	31.275139	18.387909
1001700602_G8	-8.291235	-24.939484
1001700602_G13	4.021607	-22.994648
1001700602_G14	12.369797	-5.4301696
1001700602_G19	22.136534	-17.021341
1001700602_G22	43.08798	5.401328
1001700602_I4	19.842806	23.198126
1001700602_I10	25.008707	28.912964
1001700602_I11	8.143764	11.095833
1001700602_I15	18.156082	10.854025
1001700602_I17	4.0366373	10.671425
1001700602_I18	15.542187	14.586397
1001700602_I19	33.979836	38.50171
1001700602_I20	16.150259	31.439465
1001700602_I21	12.641535	15.18668
1001700602_J3	25.933771	12.667775
1001700602_J10	27.759298	12.046327
1001700602_J11	5.534218	7.6377344
1001700602_K3	37.702427	12.3206005
1001700602_K4	23.15716	6.8328233
1001700602_K5	33.16388	-3.0656638
1001700602_K9	18.320415	5.5335555
1001700602_K11	35.35862	13.325752
1001700602_K15	34.837063	13.207086
1001700602_K18	8.2643585	-3.3915503
1001700602_K19	34.145634	-9.63221
1001700602_L6	33.712807	23.058413
1001700602_L13	29.367302	13.734771
1001700602_L18	15.954133	10.869991
1001700602_M3	30.641756	39.106293
1001700602_M5	19.101717	18.621382
1001700602_M15	28.348711	-18.339659
1001700602_M17	14.778711	7.486161
1001700602_N4	12.571088	7.553704
1001700602_N6	33.193546	24.770655
1001700602_N8	7.558995	20.06976
1001700602_N9	29.313633	-0.6202026
1001700602_N11	47.16896	32.26622
1001700602_N13	25.311356	3.075354
1001700602_N14	24.870136	13.413178
1001700602_N16	8.847973	17.090357
1001700602_O3	23.075794	15.215268
1001700602_O8	31.501179	2.4085498
1001700602_O10	25.623878	-17.99227
1001700602_O12	25.74835	39.122883
1001700602_O13	17.168398	31.48193
1001700602_O14	-13.939008	-22.068935
1001700602_O16	2.1586735	-20.16594
1001700602_O17	30.004133	3.7414815
1001700602_O18	35.143894	32.316032
1001700602_P8	29.365719	24.61797
1001700602_P14	30.716816	5.241866
1001700602_P17	35.659054	8.324951
1001700602_P18	10.160903	-0.70605505
1001700602_P19	30.141504	38.93414
1001700603_A1	-23.455235	41.79526
1001700603_A2	6.088971	-13.849265
1001700603_A4	31.855095	40.319916
1001700603_A6	34.44238	-18.092424
1001700603_A7	32.875618	16.352812
1001700603_A9	28.845999	37.39854
1001700603_A11	28.06369	-7.308831
1001700603_A16	21.37162	2.3777335
1001700603_A17	8.244213	-25.208351
1001700603_A19	39.849392	2.1815956
1001700603_A22	5.2328935	29.99024
1001700603_B1	27.39819	44.232677
1001700603_B4	20.548567	25.741577
1001700603_B6	9.625133	4.1365423
1001700603_B8	31.731367	6.6458826
1001700603_B10	9.038611	-21.852472
1001700603_B12	23.547056	23.438326
1001700603_B20	4.22612	-15.860144
1001700603_B21	17.763718	27.295425
1001700603_C3	0.01587016	21.451067
1001700603_C5	24.548258	-6.271243
1001700603_C7	-7.620096	4.401288
1001700603_C9	12.268172	-25.111904
1001700603_C11	11.534828	-19.032022
1001700603_C13	39.099358	14.120689
1001700603_D2	10.492827	4.791887
1001700603_D3	18.53446	44.43921
1001700603_D4	4.779918	-17.946331
1001700603_D6	24.607155	2.2126243
1001700603_D8	28.266119	8.623931
1001700603_D10	12.95903	10.4070215
1001700603_D11	29.925947	20.618313
1001700603_D12	15.203719	12.758382
1001700603_D17	2.1813383	-27.215982
1001700603_D20	2.1230817	-24.972622
1001700603_D21	42.69551	5.767254
1001700603_E1	34.581074	15.771059
1001700603_E3	39.238323	-1.3967475
1001700603_E5	6.7497253	-17.40438
1001700603_E7	36.861546	43.620426
1001700603_E9	31.965775	26.846476
1001700603_E11	10.895405	21.915508
1001700603_E15	29.326904	40.135124
1001700603_E16	27.35942	36.414436
1001700603_E18	4.8833685	19.066488
1001700603_E20	23.876898	-9.685165
1001700603_E22	8.742851	-21.199944
1001700603_F2	6.0466113	9.615222
1001700603_F3	-9.976078	-32.10135
1001700603_F5	25.906202	-0.9516408
1001700603_F7	7.7079425	-11.028602
1001700603_F9	47.016468	5.7384186
1001700603_F10	43.06646	-5.493259
1001700603_F12	6.5113535	31.40715
1001700603_F15	33.842262	8.030625
1001700603_F17	27.68479	22.617352
1001700603_F18	43.201546	-5.0501976
1001700603_F21	8.829203	42.179813
1001700603_G1	13.494994	19.376589
1001700603_G2	23.515574	9.042475
1001700603_G3	11.160492	5.962537
1001700603_G4	-5.6425056	-25.949753
1001700603_G6	36.242462	-9.023174
1001700603_G8	10.470726	-27.363323
1001700603_G10	8.456646	-10.456951
1001700603_G12	22.18799	-12.500061
1001700603_H1	2.6683629	-30.061956
1001700603_H3	27.894453	27.02428
1001700603_H5	15.421466	-1.7393372
1001700603_H7	17.411777	-2.3099306
1001700603_H9	4.0199265	6.6882668
1001700603_H11	21.16526	-17.544758
1001700603_I2	23.49183	20.299313
1001700603_I4	14.427968	21.697433
1001700603_I6	33.598408	15.036213
1001700603_I8	12.203823	-1.8512356
1001700603_I10	9.833413	12.88397
1001700603_J1	-1.2623988	-15.38871
1001700603_J3	16.947243	7.767232
1001700603_J5	37.51801	4.971
1001700603_J7	31.104841	22.95191
1001700603_J8	14.569322	-27.406483
1001700603_J9	16.866203	6.5434213
1001700603_J11	27.58415	1.0938346
1001700603_J12	20.502111	3.5041888
1001700603_K2	17.138144	3.7197618
1001700603_K4	34.962303	-8.537318
1001700603_K6	16.533249	2.9648523
1001700603_K8	35.076332	11.544224
1001700603_K10	17.05699	17.74984
1001700603_K13	-2.797426	-24.31233
1001700603_L5	34.952454	4.619197
1001700603_L7	9.274872	16.65523
1001700603_L10	31.079445	32.774216
1001700603_L12	3.4287086	-15.4423485
1001700603_L16	47.915043	32.58767
1001700603_L18	43.53413	17.358932
1001700603_M1	26.236406	23.373034
1001700603_M4	31.795002	20.279846
1001700603_M5	25.42687	22.544611
1001700603_M7	42.20447	32.123123
1001700603_M10	43.15027	33.374866
1001700603_M13	2.6265314	-31.3455
1001700603_M16	7.0647664	3.4929185
1001700603_M17	10.605376	40.044178
1001700603_M19	43.640953	27.919094
1001700603_M20	39.75488	8.126044
1001700603_M22	-1.850823	31.018843
1001700603_N1	49.675716	20.19515
1001700603_N3	19.133472	17.445206
1001700603_N6	19.670403	29.729954
1001700603_N10	38.442497	8.211949
1001700603_N12	30.114946	32.54952
1001700603_N16	-29.69038	-30.45665
1001700603_N17	40.103725	12.422492
1001700603_N19	2.2929733	33.8265
1001700603_O1	20.460588	-3.577321
1001700603_O2	0.024044953	21.429522
1001700603_O4	16.31296	-4.0475726
1001700603_O5	2.5571997	35.0319
1001700603_O10	17.632868	-13.617585
1001700603_O17	32.020077	33.115356
1001700603_O22	1.1576669	33.757004
1001700603_P6	-41.58189	-33.87775
1001700603_P13	50.354904	9.419198
1001700603_P17	21.016598	2.5373342
1001700603_P21	-2.3078048	38.796883
1001700605_A8	35.879936	19.111351
1001700605_A11	38.772255	-0.18445823
1001700605_A14	-3.1940236	-20.783049
1001700605_A16	26.940926	39.038303
1001700605_A18	38.73851	18.195711
1001700605_A20	26.01265	-9.177945
1001700605_A21	31.477386	44.860497
1001700605_B1	-5.3677945	37.785183
1001700605_B8	18.225882	26.668512
1001700605_B11	4.555011	-9.152896
1001700605_B13	14.271584	22.455473
1001700605_B14	5.9252234	21.715136
1001700605_B15	33.926647	-9.765803
1001700605_B18	-0.9815537	-21.152662
1001700605_C7	30.28438	22.100176
1001700605_C9	16.450077	-14.2046385
1001700605_C14	35.04012	34.58535
1001700605_C15	26.740156	15.361982
1001700605_C16	20.991703	-18.613035
1001700605_C17	-1.5677902	13.50946
1001700605_C18	12.201314	9.255194
1001700605_D1	25.776182	19.238482
1001700605_D3	20.67054	14.113111
1001700605_D8	24.239119	37.121235
1001700605_D9	19.037535	22.222202
1001700605_D13	16.592548	10.731397
1001700605_D17	6.196518	19.908463
1001700605_E3	17.992039	5.786463
1001700605_E5	29.93768	27.649324
1001700605_E12	15.465445	6.15312
1001700605_E15	13.528543	-3.1240127
1001700605_E19	31.419987	44.78358
1001700605_E22	2.9747376	-32.61123
1001700605_F8	32.800404	28.670986
1001700605_F11	-6.8000336	-26.171091
1001700605_F18	18.727564	35.079006
1001700605_F21	25.95661	-1.9585688
1001700605_G3	30.253826	-1.1297045
1001700605_G8	42.480354	7.0890036
1001700605_G9	28.883167	12.279434
1001700605_G12	25.205421	7.537841
1001700605_G19	7.3597965	42.07888
1001700605_H2	27.348995	14.948618
1001700605_H9	30.876675	21.641186
1001700605_H12	-0.6335508	-21.037258
1001700605_H15	12.357054	-12.521063
1001700605_I3	-23.135798	3.9127817
1001700605_J2	39.78661	22.541908
1001700605_J7	11.250065	-15.061567
1001700605_J8	19.34996	6.0719204
1001700605_J9	20.096207	-4.9349647
1001700605_J10	24.115463	-5.6343126
1001700605_J12	23.856815	7.7780695
1001700605_J15	6.3366613	15.296127
1001700605_J16	27.260214	27.805832
1001700605_K2	27.147383	7.8273354
1001700605_K9	10.616675	31.320553
1001700605_K21	-0.48521787	-19.231857
1001700605_L8	-14.982995	-23.848942
1001700605_L10	38.707886	13.156387
1001700605_L12	31.703402	10.279139
1001700605_L14	-33.911774	-35.04476
1001700605_L15	36.32039	0.7521037
1001700605_L22	11.094862	37.58908
1001700605_M11	5.9395905	6.881629
1001700605_M15	-7.2613935	3.745122
1001700605_M21	26.16826	3.8418329
1001700605_O2	48.78602	22.206938
1001700605_O3	0.4701785	-27.321901
1001700605_O5	42.172504	26.581253
1001700605_O6	4.042196	-9.955012
1001700605_O8	3.8377934	19.140497
1001700605_O9	21.208021	-2.675077
1001700605_O11	-0.16998906	-22.468378
1001700605_O14	24.015402	19.264519
1001700605_O21	10.215111	-25.057724
1001700605_O22	25.068388	33.08534
1001700605_P20	38.295742	1.2746336
1001700606_A1	1.8655154	27.033401
1001700606_A5	12.939951	-6.395285
1001700606_A8	48.01619	22.219461
1001700606_A11	9.743799	-10.346421
1001700606_A13	-3.8481414	6.020629
1001700606_A21	29.640347	-12.61782
1001700606_B4	9.691028	37.803787
1001700606_B7	35.398525	37.7222
1001700606_B12	42.173946	37.440308
1001700606_B13	32.50507	29.424204
1001700606_B14	33.913017	21.978485
1001700606_B15	-7.932194	12.771195
1001700606_B16	24.18749	13.2871895
1001700606_B19	-7.8556747	11.773881
1001700606_B20	9.252631	41.974712
1001700606_B22	21.87586	28.356783
1001700606_C1	37.48658	37.978355
1001700606_C3	11.606872	27.969929
1001700606_C6	12.61604	-11.6368265
1001700606_C10	31.353447	37.172573
1001700606_C13	7.595975	-16.362997
1001700606_C16	27.341782	40.20586
1001700606_C18	19.871056	8.7165
1001700606_C21	15.592829	-17.348011
1001700606_C22	-4.569808	-33.199806
1001700606_D5	22.768116	30.74666
1001700606_D12	16.22531	-14.950637
1001700606_D14	6.4925923	29.004585
1001700606_D16	7.8408885	-16.734596
1001700606_D17	42.949154	24.572737
1001700606_D20	27.990591	18.873434
1001700606_E2	21.133228	-23.089283
1001700606_E5	8.848645	-5.1895967
1001700606_E6	24.027397	17.965912
1001700606_E10	25.90975	9.829369
1001700606_E12	9.830237	-26.258331
1001700606_E15	-10.392315	-3.8651347
1001700606_E17	34.230526	6.3754253
1001700606_E18	29.173006	42.167847
1001700606_E19	40.995983	5.0578847
1001700606_E22	25.551352	18.030642
1001700606_F1	-1.0697081	-14.7464485
1001700606_F3	23.799042	29.392733
1001700606_F4	34.922665	26.76514
1001700606_F6	24.40576	10.567767
1001700606_F8	4.195187	-26.827255
1001700606_F11	22.841045	45.288383
1001700606_F13	32.870426	-2.2967296
1001700606_F16	13.181558	24.676397
1001700606_F18	-6.944984	6.460235
1001700606_F21	25.886406	41.23907
1001700606_G3	-10.335656	1.5973548
1001700606_G5	26.220156	33.48523
1001700606_G7	29.276133	-6.716539
1001700606_G14	25.735994	-12.191655
1001700606_H1	2.8783672	15.657386
1001700606_H3	4.581828	14.954326
1001700606_H6	0.94533384	-20.658195
1001700606_H11	5.6207	29.967812
1001700606_H15	37.206753	31.056257
1001700606_H17	-2.6263533	12.324055
1001700606_I2	26.353992	-3.4629579
1001700606_I4	43.57411	12.302681
1001700606_I5	37.599964	28.103827
1001700606_I7	8.780255	-26.817358
1001700606_I8	5.114269	10.238934
1001700606_I10	4.96917	-17.479603
1001700606_I12	41.036747	25.994432
1001700606_I14	10.0540495	27.116144
1001700606_I15	37.565357	25.461117
1001700606_I21	41.082287	28.252182
1001700606_I22	13.832938	34.39708
1001700606_J3	6.514085	5.2685122
1001700606_J5	29.168358	17.071846
1001700606_J6	34.933567	7.114596
1001700606_J8	42.813637	18.104618
1001700606_J11	-30.372553	-1.629164
1001700606_J16	24.584545	16.509024
1001700606_K1	17.117544	24.08948
1001700606_K3	39.954403	31.880562
1001700606_K5	23.055683	-11.14356
1001700606_K6	42.864937	26.09605
1001700606_K8	21.310635	33.28688
1001700606_K10	36.953568	32.31277
1001700606_K14	24.938774	8.743941
1001700606_K16	20.537077	18.778992
1001700606_K19	20.638382	12.787841
1001700606_K22	37.447594	34.04136
1001700606_L1	18.760962	44.801723
1001700606_L4	20.049753	14.961668
1001700606_L7	20.713896	-19.343817
1001700606_L11	29.047195	29.467964
1001700606_L16	31.848352	-10.132294
1001700606_L18	42.610462	18.639473
1001700606_L21	37.530235	39.80491
1001700606_M2	12.523617	19.176702
1001700606_M4	18.323387	22.425371
1001700606_M5	36.04097	6.6424613
1001700606_M9	36.05638	26.548912
1001700606_M12	31.317034	-1.6653664
1001700606_M17	22.450447	16.967539
1001700606_M20	1.1281029	-24.817192
1001700606_N1	-0.0058945045	-25.533484
1001700606_N7	11.462831	-27.964968
1001700606_N10	26.900904	19.327913
1001700606_N11	42.64193	19.530998
1001700606_N13	37.256073	32.456577
1001700606_N16	26.961222	28.989597
1001700606_N19	17.829128	-8.091293
1001700606_N21	23.888514	17.462355
1001700606_O3	11.319113	-16.547997
1001700606_O5	-7.439361	-27.344532
1001700606_O8	41.16391	29.818903
1001700606_O11	13.698074	23.945745
1001700606_O12	-3.3560083	-19.181969
1001700606_O17	14.770224	28.091465
1001700606_O20	37.142162	41.59458
1001700606_P4	22.718658	20.943148
1001700606_P5	37.976265	18.926723
1001700606_P9	21.968098	-1.661963
1001700606_P10	19.029251	-6.684275
1001700606_P12	11.536236	-7.3408003
1001700606_P18	35.502083	20.68234
1001700606_P19	34.314747	20.682201
1001700608_B5	47.744804	27.622757
1001700608_B8	-3.8896255	11.257192
1001700608_B11	-28.75702	-33.34766
1001700608_B13	-21.594082	10.447163
1001700608_B17	-27.603233	1.1299306
1001700608_C3	16.984175	-11.307884
1001700608_C4	20.83609	24.380669
1001700608_C6	-0.51545215	-29.131971
1001700608_C10	25.43536	21.864168
1001700608_C15	20.984325	-5.8092656
1001700608_C18	14.751798	18.764257
1001700608_D6	-33.31803	3.8814726
1001700608_D7	-2.8384528	-1.2971296
